Version:	0.100000
Fitness:	0.000000	0.102538
Sample:	1
PopSize:	1000
NoQTL:	1
Ploidy:	2
OptimizeVariance:	0.000527
Drift:	False
EnvVar:	0.012599
MutationScalar:	0.002100
MutationVar:	0.000026
Generations:	6500
ChangeFitnessSD:	5000	0.099119
MoveFitnessSD:	5000	1.815636
MoveType:	Phenotype
Seed:	821759058
PheotypeVar:	0.013126
Heritabitlity:	0.040184
StandardisePhenotype:	False
InitFitnessSD:	-1.000000
Generation	Phenotype Mean	Phenotype Ratio	Genotype Var	P Survived	Surviving Slope	Surviving Standardised Slope	w	
130	0.000071	0.000592	0.000966	667	4.580544	0.362861	0.187692	
131	0.002189	0.018963	0.000986	669	4.556598	0.338295	0.191664	
132	-0.002664	-0.023028	0.000903	683	4.564472	0.354570	0.175520	
133	-0.000210	-0.001827	0.000967	667	4.496828	0.344254	0.188076	
134	-0.003677	-0.030745	0.001001	666	4.607727	0.372913	0.194521	
135	0.002006	0.016964	0.001084	656	4.568118	0.348796	0.210649	
136	-0.000070	-0.000606	0.001031	665	4.519899	0.345114	0.200499	
137	0.002824	0.024565	0.001010	679	4.532856	0.351324	0.196244	
138	0.000284	0.002441	0.001079	652	4.565775	0.363756	0.209773	
139	-0.000066	-0.000588	0.001009	680	4.585312	0.351933	0.196104	
140	-0.000007	-0.000063	0.001034	656	4.514424	0.336189	0.201057	
141	-0.004030	-0.035176	0.000944	637	4.548476	0.344500	0.183599	
142	0.002623	0.023176	0.000989	658	4.581318	0.332639	0.192202	
143	0.004388	0.037213	0.001125	646	4.505550	0.351871	0.218627	
144	0.001164	0.010035	0.001028	678	4.549333	0.354667	0.199844	
145	0.009569	0.081969	0.001078	661	4.585033	0.363786	0.209478	
146	0.004234	0.037930	0.001014	675	4.535770	0.327285	0.197203	
147	0.003803	0.031932	0.001079	661	4.582981	0.336481	0.209799	
148	0.010549	0.090120	0.001052	665	4.512700	0.366189	0.204482	
149	0.000283	0.002442	0.001046	651	4.575845	0.357740	0.203402	
150	0.005853	0.050503	0.001094	667	4.615764	0.362362	0.212718	
151	0.005669	0.047926	0.001034	649	4.561155	0.344038	0.200969	
152	-0.002098	-0.017493	0.001128	628	4.622608	0.361380	0.219323	
153	0.003113	0.025782	0.001018	653	4.549752	0.352009	0.197935	
154	0.003478	0.029378	0.001040	638	4.628817	0.367304	0.202213	
